run,enabled,index,total_ms,clamp_ms,show_ms,corners_ms,border_ms,total_cycles,total_kernel_ms,total_user_ms,show_cycles,show_kernel_ms,show_user_ms
1,0,26,1.696500,0.065200,1.373200,0.016100,0.242000,0,0.0,0.0,0,0.0,0.0
1,0,27,2.435800,0.149300,1.838000,0.016400,0.432100,0,0.0,0.0,0,0.0,0.0
1,0,28,4.677300,0.275100,4.147500,0.018700,0.236000,0,0.0,0.0,0,0.0,0.0
1,0,29,2.221000,0.063000,1.942400,0.017000,0.198600,0,0.0,0.0,0,0.0,0.0
1,0,30,2.660600,0.075300,2.177400,0.105900,0.302000,0,0.0,0.0,0,0.0,0.0
1,0,31,2.610200,0.064600,1.204100,0.019300,1.322200,0,0.0,0.0,0,0.0,0.0
1,0,32,1.216300,0.065300,0.958500,0.016800,0.175700,0,0.0,0.0,0,0.0,0.0
1,0,33,1.686800,0.068100,1.381500,0.021400,0.215800,0,0.0,0.0,0,0.0,0.0
1,0,34,1.358400,0.065200,1.107600,0.015100,0.170500,0,0.0,0.0,0,0.0,0.0
1,0,35,1.263900,0.065400,1.018500,0.015100,0.164900,0,0.0,0.0,0,0.0,0.0
