run,sample,total_ms,prelude_ms,pool_ms,validation_ms,move_ms,build_return_ms,assert_hwnd_ms,recycle_prelude_ms,hide_ms,recycle_return_ms,assert_recycled_ms
2,54,0.4815,0.0232,0.0173,0.0055,0.3201,0.027,0.0055,0.0055,0.0418,0.0225,0.0131
2,55,0.4462,0.0276,0.02,0.0065,0.3138,0.0293,0.0057,0.0058,0.0117,0.0141,0.0117
2,56,0.5124,0.0281,0.0195,0.0064,0.3741,0.0332,0.0067,0.0059,0.012,0.0154,0.0111
2,57,0.6386,0.0269,0.0216,0.0062,0.4237,0.0375,0.0068,0.0061,0.0723,0.0234,0.0141
2,58,0.5702,0.0309,0.0224,0.0085,0.3372,0.0302,0.0062,0.0063,0.0872,0.0255,0.0158
2,59,0.5494,0.0325,0.0229,0.0084,0.3928,0.0344,0.0073,0.0074,0.0132,0.0172,0.0133
2,60,0.5026,0.0286,0.021,0.0071,0.3556,0.0336,0.0072,0.007,0.0123,0.017,0.0132
2,61,0.4195,0.0278,0.0209,0.0069,0.2937,0.0253,0.0057,0.0058,0.0097,0.0133,0.0104
2,62,0.3981,0.0219,0.0159,0.0054,0.2635,0.0463,0.0057,0.0056,0.0095,0.0132,0.0111
2,63,0.3759,0.0216,0.0161,0.0059,0.2624,0.0254,0.0055,0.006,0.0098,0.0132,0.01
2,64,0.3678,0.0276,0.0157,0.0052,0.2502,0.0273,0.0071,0.0055,0.0092,0.0114,0.0086
2,65,0.3316,0.0181,0.0136,0.0042,0.2281,0.0283,0.0064,0.0048,0.0086,0.0111,0.0084
2,66,0.3303,0.0182,0.0133,0.0043,0.2267,0.0277,0.0066,0.005,0.0088,0.0111,0.0086
2,67,0.3316,0.0179,0.013,0.0043,0.228,0.0285,0.0065,0.0048,0.0087,0.0114,0.0085
2,68,0.3321,0.0189,0.0135,0.0043,0.2275,0.0279,0.0067,0.0047,0.0087,0.0114,0.0085
2,69,0.3449,0.0336,0.013,0.0045,0.2262,0.0274,0.0071,0.005,0.0086,0.0109,0.0086
2,70,0.3269,0.0174,0.0126,0.0044,0.2254,0.0274,0.0065,0.0047,0.009,0.0109,0.0086
2,71,0.3264,0.0177,0.0123,0.0042,0.2248,0.0277,0.0064,0.0049,0.0089,0.011,0.0085
2,72,0.3337,0.0175,0.0128,0.0044,0.2253,0.0268,0.0072,0.0064,0.0106,0.0131,0.0096
2,73,1.6816,0.2819,0.1683,0.0649,0.9714,0.0971,0.0203,0.0163,0.019,0.0292,0.0132
2,74,1.7179,0.0989,0.0507,0.0211,1.1407,0.2047,0.0335,0.0312,0.0503,0.0337,0.0531
2,75,1.5955,0.0814,0.0634,0.0134,1.148,0.1218,0.0216,0.0165,0.0387,0.0605,0.0302
2,76,1.478,0.1116,0.0695,0.0183,1.0195,0.0834,0.0262,0.0304,0.0427,0.0464,0.03
2,77,1.6133,0.0841,0.1017,0.0244,1.1514,0.0928,0.018,0.0144,0.0361,0.0594,0.031
2,78,1.5502,0.0802,0.0742,0.0168,1.0967,0.0897,0.0265,0.0311,0.045,0.036,0.054
2,79,1.1672,0.0632,0.0642,0.0272,0.6725,0.044,0.0083,0.0081,0.1575,0.0281,0.0941
2,80,1.9542,0.0674,0.0506,0.0112,1.5248,0.0508,0.0091,0.0091,0.1834,0.0266,0.0212
2,81,1.339,0.0375,0.0265,0.008,1.0076,0.1012,0.0258,0.0191,0.0232,0.0562,0.0339
2,82,1.487,0.0862,0.0602,0.0193,1.0541,0.0824,0.0305,0.027,0.0423,0.0554,0.0296
2,83,1.4817,0.059,0.0547,0.0263,1.0897,0.0808,0.0226,0.031,0.0344,0.0351,0.0481
2,84,1.4063,0.0826,0.0564,0.0133,0.9673,0.0891,0.0124,0.019,0.0854,0.0297,0.0511
2,85,1.4982,0.0723,0.0509,0.0179,1.1016,0.0937,0.0257,0.023,0.0214,0.056,0.0357
2,86,1.653,0.091,0.0608,0.0312,1.1924,0.1011,0.0151,0.0172,0.0516,0.0625,0.0301
2,87,1.6318,0.0886,0.0464,0.0251,1.1822,0.1067,0.0336,0.0292,0.038,0.033,0.049
2,88,1.5642,0.0913,0.0751,0.0235,1.1246,0.1058,0.0176,0.0131,0.0379,0.0513,0.024
2,89,1.6246,0.101,0.0716,0.0176,1.2915,0.0702,0.0101,0.0086,0.0137,0.0219,0.0184
2,90,0.5802,0.0337,0.0246,0.007,0.4112,0.0458,0.0075,0.0071,0.0129,0.0158,0.0146
2,91,1.3682,0.0312,0.0231,0.0075,1.1645,0.0652,0.0106,0.0087,0.016,0.0233,0.0181
2,92,0.7197,0.0388,0.0281,0.0082,0.531,0.047,0.0082,0.0079,0.0133,0.0203,0.0169
2,93,1.1519,0.0312,0.023,0.0068,0.5492,0.0561,0.0095,0.0083,0.0157,0.021,0.4311
2,94,3.14,0.0401,0.0279,0.0077,2.8819,0.0659,0.0174,0.0101,0.0333,0.0318,0.0239
2,95,0.6842,0.039,0.0291,0.0085,0.4826,0.051,0.0091,0.0088,0.0155,0.0233,0.0173
2,96,0.547,0.0371,0.0247,0.0078,0.3697,0.0416,0.0096,0.0082,0.0145,0.0185,0.0153
2,97,0.556,0.0345,0.0188,0.0077,0.3883,0.0432,0.0095,0.0078,0.0138,0.0178,0.0146
2,98,0.5692,0.0312,0.0239,0.0072,0.4048,0.0391,0.0083,0.0081,0.0138,0.0183,0.0145
2,99,0.6734,0.0308,0.0206,0.0069,0.4864,0.0517,0.0091,0.0076,0.0277,0.0183,0.0143
2,100,0.748,0.0311,0.0213,0.0086,0.5772,0.0484,0.0098,0.0074,0.0131,0.0175,0.0136
3,1,0.6575,0.0917,0.0326,0.0083,0.4056,0.0494,0.0107,0.0087,0.0139,0.0207,0.0159
3,2,1.2401,0.0423,0.0242,0.0073,0.937,0.1279,0.0204,0.0125,0.0186,0.0296,0.0203
3,3,0.6464,0.0586,0.0301,0.0091,0.4522,0.0366,0.0072,0.0083,0.0129,0.0182,0.0132
3,4,0.422,0.0382,0.0194,0.0057,0.2832,0.0287,0.0061,0.0059,0.0094,0.0142,0.0112
3,5,0.3993,0.0332,0.0168,0.0057,0.2668,0.0284,0.0064,0.0056,0.0103,0.0148,0.0113
3,6,0.3908,0.0333,0.0173,0.0058,0.2624,0.0272,0.0057,0.0055,0.0095,0.0134,0.0107
3,7,0.4171,0.0317,0.017,0.0055,0.2657,0.0475,0.0063,0.0061,0.0101,0.0152,0.012
3,8,0.4226,0.0362,0.0178,0.0057,0.2856,0.0293,0.0063,0.0059,0.0106,0.0144,0.0108
3,9,0.4334,0.034,0.0174,0.0057,0.2984,0.0299,0.0066,0.0058,0.01,0.015,0.0106
3,10,0.4715,0.0325,0.0177,0.0055,0.3335,0.0331,0.0065,0.0062,0.0109,0.0145,0.0111
3,11,0.5654,0.0333,0.0177,0.0056,0.3597,0.0331,0.007,0.0063,0.0664,0.0224,0.0139
3,12,0.4547,0.0386,0.0243,0.007,0.2953,0.0439,0.0067,0.0056,0.0107,0.0131,0.0095
3,13,0.3597,0.0284,0.0151,0.0047,0.2402,0.029,0.007,0.0049,0.009,0.012,0.0094
3,14,0.3397,0.0249,0.0141,0.0042,0.2273,0.0291,0.0061,0.0048,0.0086,0.0117,0.0089
3,15,0.3509,0.024,0.0137,0.0042,0.2403,0.029,0.0061,0.0047,0.0089,0.0114,0.0086
3,16,0.3377,0.0247,0.0136,0.0042,0.2274,0.0276,0.0067,0.0049,0.0088,0.0111,0.0087
3,17,0.3338,0.0238,0.0132,0.0044,0.2248,0.0276,0.0069,0.0047,0.0086,0.0112,0.0086
3,18,0.3367,0.0235,0.013,0.0042,0.2273,0.0287,0.0066,0.0049,0.0086,0.0111,0.0088
3,19,0.35,0.0252,0.0131,0.0044,0.2347,0.0314,0.0063,0.0049,0.009,0.0117,0.0093
3,20,0.3578,0.0249,0.0139,0.0043,0.2422,0.0311,0.0063,0.0051,0.0091,0.0118,0.0091
3,21,0.3705,0.0258,0.0299,0.0045,0.2394,0.0295,0.0066,0.0048,0.0088,0.0123,0.0089
3,22,0.3444,0.0263,0.0134,0.0041,0.2316,0.0291,0.0067,0.0047,0.0088,0.0113,0.0084
3,23,0.3457,0.0235,0.0129,0.0043,0.2321,0.0301,0.0072,0.0051,0.0091,0.0124,0.009
